Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C15, C18, C19, C20, C23, C24, C26, C27, C3, C6, C8",0603,13,100nF,
C11,0603,1,10nF,
"C12, C13",0603,2,10uF,
"C14, C22",0805,2,10uF,
"C16, C2, C7, C9",0603,4,1uF,
C17,0603,1,4.7nF,
"C21, C4",0603,2,82n,
"C25, C5",0805,2,4uF,
D1,SOT65P210X110-3N,1,PESD2CANFD24V-UX,
"D10, D3, D8, D9",PMEG3005AESFYL,4,PESD3V3Z1BCSFYL,
D6,PMEG3005AESFYL,1,PESD5V0H1BSFYL,
F1,0805,1,2A @5VDC,
FB1,BEADC2012X105N,1,BLM21PG221SN1D,
"FL10, FL11, FL12, FL13, FL14, FL16, FL17, FL18, FL2, FL3, FL4, FL5, FL7, FL8, FL9",BEADC0603X33N,15,MAF0603FAL330BT000,
FL6,DLW5BSN302SQ2L,1,DLW5ATN112MQ2L,
IC1,SOT65P280X110-8N,1,TCAN1044VDDFR,
IC2,BGA9C40P3X3_128X128X54,1,BMM350,
J1,MMCX_Molex_73415-1471_Vertical,1,Conn_Coaxial_Small,
"J2, J5",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
"J3, J8",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04,
J4,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Screw_Terminal_01x02,
J6,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial_Small,
J7,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Conn_01x06,
"L1, L10, L2, L3, L4, L5, L6, L7, L8, L9",WE-CNSW_08058,10,744231061,
PS1,SOT95P280X145-5N,1,TLV75733PDBVR,
R1,0603,1,100k,
"R10, R13, R14, R9",0603,4,2K4,
R11,0603,1,430,
R12,0603,1,1K6,
"R2, R4",0603,2,10K,
R3,0603,1,1K,
"R5, R6",0603,2,60,
R7,0603,1,2.2K,
R8,0603,1,5.8K,
S2,OS102011MA1QN1,1,OS102011MA1QN1,
"TP1, TP10, TP2, TP3, TP4, TP5, TP8, TP9",TestPoint_Pad_D1.5mm,8,TestPoint,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX31855KASA,
U3,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
U4,ublox_MAX,1,MAX-M10S,
U5,SOT-23-6,1,USBLC6-2SC6,
U6,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,
